Symbol,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,Beta,Profit Margin,Avg Volume,Short Float / Ratio
AXSM,24.15,,,,0.86,,,-252.2,-88.2,-56.6,18.47,1.95,,975050.0,"(23.72, 8.61)"
AY,2.0,,56.8,,3.48,,6.46,-0.3,4.0,132.6,42.31,0.82,-0.5,708500.0,"(4.66, 4.18)"
AZN,5.45,61.84,15.09,3.82,0.79,1.05,3.74,9.1,6.9,358.0,0.5,0.53,7.4,4890000.0,"(0.12, 0.71)"
AZPN,1.05,1214.15,27.41,69.38,0.02,0.18,,,0.4,,0.4,0.94,,194120.0,"(3.67, 5.31)"
AZTA,1.02,,64.74,,0.0,,0.99,63.3,-0.8,-505.7,1.1,1.6,,962640.0,"(5.75, 4.12)"
BANF,2.15,14.15,14.14,2.02,0.07,5.77,1.96,16.1,23.9,48.4,15.4,1.1,46.0,99660.0,"(2.53, 4.99)"
BANR,1.22,9.15,7.98,1.31,0.12,5.67,3.7,13.2,30.5,9.9,0.1,1.03,34.1,174140.0,"(1.82, 3.53)"
BCPC,4.24,38.18,30.22,1.59,0.47,3.25,0.57,11.7,8.5,-13.3,0.93,0.71,11.2,101970.0,"(0.79, 2.47)"
BEAM,3.26,,,,0.0,,,-37.6,-46.4,43.0,1.5,,,888150.0,"(18.05, 14.05)"
BECN,2.05,9.35,9.2,1.06,1.03,6.4,,24.3,14.0,123.8,0.2,1.59,5.1,453730.0,"(4.66, 5.11)"
BGNE,4.94,,,,0.14,,,-36.9,-21.6,-14.1,0.1,0.8,,244410.0,"(2.65, 8.27)"
BHF,0.52,,2.66,,0.53,,,-1.1,1.8,,1.06,1.32,-1.2,419350.0,"(2.15, 3.46)"
BIDU,1.49,83.32,12.06,15.09,0.4,1.6,,1.9,1.0,99.1,15.6,0.66,3.2,3810000.0,"(2.27, 1.63)"
BIIB,2.78,12.36,15.69,8.43,0.47,20.92,,24.7,9.8,51.6,0.1,0.19,29.9,1020000.0,"(1.29, 1.82)"
BILI,3.82,,,,1.0,,,-43.4,-23.4,29.3,3.24,1.08,-34.2,8560000.0,"(7.2, 2.66)"
BKNG,33.76,31.32,15.64,1.01,4.49,77.88,,82.5,27.7,113.7,0.2,1.33,17.9,322490.0,"(1.59, 1.85)"
BKR,1.95,,13.36,,0.46,,2.7,-4.0,0.6,-44.1,0.14,1.47,-2.8,6750000.0,"(1.55, 2.32)"
BL,33.15,,53.3,,12.39,,,-35.1,-2.8,130.0,1.1,0.89,-5.6,460360.0,"(8.17, 9.78)"
BLKB,3.71,,13.41,,1.15,,,-6.3,-1.1,-173.7,0.6,1.15,-4.3,216190.0,"(2.05, 4.02)"
BLMN,7.85,25.25,7.87,7.94,3.07,0.96,3.96,38.4,16.3,3.4,0.7,1.9,2.3,1630000.0,"(12.13, 6.22)"
BMBL,1.56,,41.59,,0.38,,,-4.8,-4.7,,0.73,,-8.8,2440000.0,"(4.48, 2.36)"
BMRN,3.64,123.32,28.95,,0.24,0.73,,3.1,2.5,99.6,0.3,0.4,6.8,1530000.0,"(3.95, 4.77)"
BNTX,1.6,3.01,8.82,,0.01,43.18,,65.5,86.3,-43.5,64.01,0.25,55.6,776110.0,"(0.91, 2.53)"
BOKF,1.24,11.35,9.3,1.62,0.04,7.7,2.47,11.0,21.5,46.6,0.4,1.26,37.1,196400.0,"(2.42, 3.53)"
BPMC,5.1,,,,0.27,,,-80.1,-83.0,51.0,1.0,0.71,,577110.0,"(9.3, 9.58)"
BPOP,0.97,3.73,5.58,0.75,0.0,14.71,4.01,26.5,42.5,37.7,0.9,0.89,44.7,530210.0,"(1.44, 1.94)"
BRKR,9.53,36.27,25.03,1.93,1.09,1.99,0.28,29.4,13.6,32.8,26.4,1.13,11.7,651940.0,"(3.53, 5.35)"
BRZE,6.46,,,,0.0,,,-31.1,-15.6,-265.4,0.6,,-45.4,458900.0,"(4.3, 4.83)"
BSY,21.04,71.15,39.67,,3.11,0.55,0.51,34.1,8.0,-37.1,21.8,,15.9,734150.0,"(3.37, 9.5)"
BZ,4.52,108.4,40.71,2.46,0.0,0.17,,2.5,-10.3,-25.1,0.07,,6.2,2470000.0,"(9.35, 5.53)"
CACC,3.3,10.35,9.69,0.47,2.83,38.96,,33.7,11.3,-35.2,0.7,1.33,29.2,128610.00000000001,"(13.99, 9.43)"
CAKE,5.75,40.8,10.23,1.2,1.6,0.84,3.14,12.9,6.5,-203.3,6.71,1.46,1.3,1060000.0,"(19.09, 8.62)"
CALM,2.01,5.62,11.47,,0.0,9.74,5.63,40.8,10.0,16829.8,10.91,,18.7,1020000.0,"(17.72, 5.71)"
CAR,,3.29,7.84,0.17,,57.22,,-386.8,13.4,55.2,0.5,2.37,23.0,628340.0,"(9.49, 5.84)"
CARG,2.76,13.27,17.36,0.86,0.0,1.28,,34.6,10.4,260.8,1.6,1.62,11.7,1250000.0,"(10.35, 8.09)"
CASY,3.01,17.51,19.89,2.03,0.64,12.02,0.72,18.5,10.1,55.5,0.3,0.81,3.0,260930.0,"(2.59, 3.69)"
CATY,1.1,7.6,6.96,0.95,0.06,4.84,3.7,14.8,23.2,34.2,0.6,1.17,42.4,290210.0,"(2.64, 6.41)"
CBRL,4.98,22.82,15.25,2.21,0.0,4.79,4.75,21.2,15.1,-14.5,2.8,1.36,3.2,389500.0,"(9.45, 5.28)"
CBSH,3.12,15.46,14.52,,0.0,3.81,1.83,18.5,31.6,11.7,2.2,0.77,48.4,410660.0,"(1.91, 5.39)"
CCCS,2.57,143.33,25.75,,0.4,0.06,,1.9,1.4,101.7,0.6,,4.9,783610.0,"(0.63, 4.89)"
CCEP,3.2,15.88,13.3,1.93,1.6,3.48,3.08,,8.5,14.0,0.31,0.79,,1070000.0,"(1.71, 4.61)"
CCOI,,526.29,55.75,,,0.12,6.06,-1.1,11.1,-93.6,0.8,0.44,0.9,283620.0,"(3.15, 4.67)"
CD,1.54,25.49,,,0.79,0.25,,6.3,3.3,200.0,0.64,,16.5,1160000.0,"(3.26, 4.96)"
CDNS,19.28,63.58,35.3,3.6,0.27,3.09,,31.3,25.1,38.8,0.6,1.06,23.8,1490000.0,"(1.34, 2.44)"
CDW,15.93,23.16,16.5,1.59,3.69,8.14,1.25,90.5,18.1,33.9,0.1,1.13,4.7,772440.0,"(1.32, 2.3)"
CEG,2.33,,14.53,,0.5,,1.46,-1.4,-2.9,-130.9,0.1,,-0.7,2029999.9999999998,"(1.59, 2.55)"
CELH,154.04,,46.6,,0.01,,,-140.1,-476.3,-719.4,0.5,1.81,-30.4,964190.0,"(23.67, 9.93)"
CENT,1.53,15.67,13.18,1.57,0.9,2.46,,10.2,8.5,-197.9,13.7,0.71,4.1,34980.0,"(0.49, 6.89)"
CENTA,1.51,15.02,12.61,2.55,,2.46,,,,,3.93,,,177480.0,"(2.28, 5.06)"
CERE,7.57,,,,0.64,,,-67.0,,-48.1,17.56,,,620560.0,"(3.74, 7.77)"
CERT,2.97,220.87,31.7,7.81,0.27,0.09,,1.4,2.1,192.5,1.2,,4.4,648030.0,"(2.01, 4.74)"
CFLT,8.27,,299.46,,1.41,,,-56.8,-25.3,12.3,0.4,,-77.2,3730000.0,"(11.73, 4.61)"
CG,1.76,8.96,6.7,,1.31,3.36,4.32,20.2,9.2,-80.6,2.3,1.69,27.6,3270000.0,"(7.92, 5.83)"
CGNX,5.68,38.42,32.79,16.24,0.0,1.23,0.59,15.5,14.7,6.6,0.2,1.6,21.4,839210.0,"(2.81, 5.58)"
CHDN,15.86,20.54,15.55,0.68,8.35,11.42,0.3,84.3,3.0,-94.4,2.9,1.12,24.3,180760.0,"(2.32, 4.21)"
CHK,1.09,2.34,7.2,,0.34,31.68,12.27,73.0,41.4,182.0,0.1,,42.6,1670000.0,"(6.12, 4.72)"
CHKP,5.15,19.55,14.11,2.68,0.0,6.33,,26.5,25.7,12.6,24.8,0.68,34.2,795820.0,"(3.1, 3.93)"
CHRD,1.18,3.72,4.21,0.19,0.08,35.71,3.77,63.0,32.1,-5.6,3.3,,50.9,458610.0,"(3.6, 3.09)"
CHRW,8.89,13.89,19.51,14.39,1.53,7.29,2.41,52.4,30.3,-54.3,0.3,0.8,3.8,1550000.0,"(11.84, 8.76)"
CHTR,5.64,10.9,8.32,0.62,10.7,30.76,,50.6,9.7,-14.0,12.3,1.12,9.4,1370000.0,"(9.0, 6.51)"
CHX,3.24,36.8,12.35,1.16,0.37,0.75,1.23,8.8,8.9,59.4,0.7,2.6,4.1,1590000.0,"(3.9, 4.86)"
CIGI,9.38,106.22,12.84,5.31,3.45,1.01,0.28,9.4,10.9,-47.0,11.0,1.51,1.0,85280.0,"(1.63, 6.78)"
CINF,1.62,,18.17,,0.08,,2.76,-4.6,-3.8,-28.9,0.5,0.65,-7.4,605380.0,"(2.15, 5.54)"
CLBK,1.72,21.08,20.14,,1.07,0.81,,8.2,21.7,-9.2,0.6,0.23,27.8,150690.0,"(5.94, 12.49)"
CLDX,6.24,,,,0.0,,,-31.3,-35.3,-30.3,0.2,2.18,,482630.0,"(7.7, 7.49)"
CMCSA,1.88,29.82,8.63,4.32,1.24,1.19,3.27,6.2,5.4,6.3,0.74,1.0,4.4,20890000.0,"(1.01, 2.01)"
CME,2.4,24.29,20.45,6.2,0.13,7.4,2.45,9.6,7.3,4.0,0.2,0.42,52.9,1830000.0,"(1.13, 2.22)"
CNXC,2.34,14.96,9.45,1.62,0.83,8.28,0.89,15.9,9.6,-14.9,16.7,,6.8,236460.0,"(1.28, 2.34)"
COHR,1.08,,8.39,,0.95,,,-2.5,7.0,-232.0,1.4,1.55,-2.2,1340000.0,"(4.57, 4.65)"
COIN,2.46,,,,0.63,,,-44.9,-25.6,-165.4,0.2,,-82.2,17840000.0,"(19.76, 1.95)"
COKE,4.46,12.85,,,0.55,40.36,0.39,44.8,28.8,583.5,43.53,0.91,6.9,39300.0,"(1.87, 2.52)"
COLB,0.73,6.42,5.14,0.8,0.01,3.2,5.84,11.2,24.8,60.0,0.1,0.73,38.7,2230000.0,"(5.92, 5.48)"
COLM,2.74,17.21,14.01,0.54,0.0,4.96,1.41,17.1,15.9,-15.7,47.54,0.94,9.0,303680.0,"(3.04, 3.25)"
COOP,0.69,3.27,6.06,,1.83,12.19,,22.8,9.7,-99.4,0.8,1.6,37.5,587650.0,"(3.63, 4.26)"
CORT,4.45,23.69,24.1,,0.0,0.88,,22.2,19.5,-45.6,0.5,0.5,25.2,779210.0,"(15.53, 19.07)"
COST,9.19,34.68,30.08,3.5,0.29,13.61,0.76,28.5,20.4,13.0,0.2,0.79,2.6,2020000.0,"(0.69, 1.52)"
COUP,,,,,,,,,,,,,,,
CPRT,6.21,30.25,25.84,1.36,0.0,2.25,,22.7,23.9,2.1,9.5,1.23,29.5,1850000.0,"(0.94, 2.18)"
CRCT,2.74,34.4,23.83,,0.0,0.28,,11.1,20.8,-57.8,1.8,,8.9,99040.0,"(2.55, 55.47)"
CROX,8.41,12.81,8.63,1.28,2.84,8.69,,94.4,21.4,-14.5,2.9,1.96,15.2,1510000.0,"(10.79, 4.29)"
CRSP,1.91,,,,0.0,,,-31.9,-35.9,23.5,0.5,1.73,,1140000.0,"(14.46, 9.81)"
CRTO,1.66,329.33,9.78,,0.0,0.09,,0.8,-0.7,-80.8,1.5,0.91,0.4,305830.0,"(0.75, 1.34)"
CRUS,3.22,17.59,15.33,2.59,0.0,5.68,,19.9,20.3,-15.4,0.4,0.97,16.2,522630.0,"(3.07, 3.22)"
CRVL,15.65,46.16,,,0.0,3.83,,33.5,31.3,26.6,42.8,1.07,9.6,80500.0,"(3.19, 3.56)"
CRWD,19.49,,40.73,,0.51,,,-14.4,-9.6,-10.5,0.7,1.02,-8.2,5220000.0,"(3.57, 1.36)"
CSCO,4.79,17.73,12.03,2.42,0.21,2.73,3.22,27.9,22.9,-4.7,0.1,0.98,21.3,18140000.0,"(0.98, 2.22)"
CSGP,3.93,72.1,47.57,3.61,0.14,0.93,,5.9,4.2,30.1,0.8,0.89,16.9,2490000.0,"(1.18, 1.92)"
CSIQ,1.42,14.1,7.64,1.17,2.21,2.78,,10.5,3.0,117.8,31.0,1.47,2.7,1020000.0,"(7.89, 3.9)"
CSQ,0.97,,,,,,9.33,,,,0.15,,,227230.0,"(0.18, 1.47)"
CSWI,4.17,23.51,21.92,1.96,0.55,5.71,0.51,18.6,10.2,71.2,1.2,0.8,12.2,78450.0,"(0.69, 1.3)"
CSX,4.78,14.92,14.31,1.81,1.43,1.95,1.51,32.2,15.6,16.1,0.26,1.23,28.0,13400000.0,"(1.06, 1.61)"
CTAS,12.77,35.05,30.46,2.87,0.85,12.29,1.07,38.6,21.7,-46.9,0.5,1.34,15.3,350680.0,"(1.41, 3.48)"
CTSH,2.41,13.13,11.88,2.39,0.05,4.42,2.0,19.0,17.3,-6.9,0.1,1.11,11.8,4850000.0,"(1.33, 1.39)"
CVBF,1.29,10.78,9.32,1.08,0.0,1.68,4.42,11.9,20.6,34.8,0.3,0.41,45.5,737430.0,"(3.54, 6.36)"
CVCO,2.62,10.32,12.11,0.34,0.01,27.35,,27.7,22.4,-22.2,0.6,1.21,11.4,77750.0,"(3.6, 3.86)"
CVLT,9.34,158.89,21.09,15.89,0.0,0.34,,6.0,12.4,-103.2,1.8,0.6,2.0,283690.0,"(1.86, 2.88)"
CVT,2.25,,37.37,,0.1,,,-6.4,-3.1,30.6,0.1,,-17.0,486570.0,"(0.44, 4.25)"
CWST,8.23,77.34,55.55,4.16,1.19,1.02,,11.3,6.7,-8.4,0.8,0.92,4.9,235890.0,"(2.31, 4.9)"
CYBR,6.77,,124.01,,0.84,,,-19.6,-11.7,-59.1,,1.09,-22.0,454190.0,"(3.58, 3.19)"
CYTK,,,,,,,,,-69.3,-299.3,0.7,0.84,,1040000.0,"(10.51, 9.17)"
CZR,2.63,,19.38,,6.83,,,-24.0,5.8,67.0,0.4,2.9,-8.3,3090000.0,"(2.75, 1.9)"
DADA,2.06,,11.45,,0.01,,,-26.5,-29.8,40.0,2.95,,-21.4,2110000.0,"(1.1, 1.3)"
DBX,,10.23,9.92,1.0,,1.85,,-116.0,40.7,190.5,3.9,0.84,23.8,2800000.0,"(5.01, 4.78)"
DCT,3.43,,96.38,,0.0,,,-1.9,-0.9,-853.5,3.3,,-4.6,1690000.0,"(3.21, 1.81)"
DDOG,14.92,,44.34,,0.52,,,-4.0,-3.3,-497.9,0.7,1.0,-3.0,4900000.0,"(4.72, 2.53)"
DIOD,2.66,12.29,12.83,0.82,0.12,7.2,,23.8,20.7,41.3,0.5,1.49,16.6,197090.0,"(2.88, 5.15)"
DISH,0.3,2.84,12.58,,1.19,3.62,,13.7,3.3,69.7,0.4,1.83,13.8,5630000.0,"(12.31, 5.49)"
DKNG,6.2,,,,0.95,,,-93.3,-56.1,32.6,2.1,1.8,-61.5,13960000.0,"(8.05, 2.5)"
DLO,11.69,41.79,24.29,0.84,0.05,0.36,,34.4,26.3,65.1,9.32,,30.0,1260000.0,"(5.18, 6.01)"
DLTR,3.82,19.75,17.91,1.25,0.46,7.2,,19.2,13.5,24.2,0.1,0.67,5.5,2120000.0,"(3.61, 3.72)"
DNLI,2.99,,,,0.0,,,-35.7,-32.7,-20.5,1.8,1.37,,694190.0,"(6.07, 10.12)"
DNUT,1.88,,31.78,,0.65,,1.05,-1.3,1.4,-299.8,2.8,,-1.0,926420.0,"(11.71, 10.47)"
DOCU,22.77,,19.67,,1.54,,,-29.0,-6.5,-416.2,1.0,0.99,-4.3,5380000.0,"(4.94, 1.82)"
DOOO,37.32,12.9,8.63,,,6.1,,,,10.7,2.77,,,42410.0,"(4.36, 36.26)"
DORM,2.47,21.27,13.91,1.42,0.7,3.85,,12.1,7.7,-47.3,0.1,0.58,7.0,105680.0,"(1.32, 3.27)"
DOX,3.01,20.2,13.78,2.01,0.0,4.45,1.94,,13.8,-0.9,4.8,0.66,,644150.0,"(0.9, 1.69)"
DRS,4.03,112.82,16.77,,0.0,0.11,,3.8,16.2,-143.3,82.09,0.88,5.3,866360.0,"(4.14, 2.23)"
DRVN,2.68,108.8,18.67,6.57,1.66,0.25,,2.7,4.0,168.9,8.6,,2.1,514620.0,"(6.01, 7.21)"
DSGX,5.78,63.31,46.23,4.22,0.0,1.18,,9.7,9.0,54.5,0.1,1.02,21.0,105010.0,"(0.5, 4.04)"
DUOL,9.11,,,,0.0,,,-11.2,-12.2,25.1,1.4,,-16.1,504040.0,"(7.24, 4.33)"
DXCM,20.05,138.15,76.74,4.51,0.95,0.8,,16.2,8.2,,0.1,1.16,11.7,2610000.0,"(3.36, 4.95)"
EA,4.02,29.71,16.84,8.86,0.25,3.71,0.69,13.6,8.8,216.9,0.2,0.85,14.1,2390000.0,"(1.61, 1.83)"
EBAY,4.33,,9.07,,1.72,,2.43,-22.8,19.1,184.0,0.1,1.36,-13.0,4900000.0,"(2.42, 2.64)"
EBC,0.78,9.5,8.47,,0.0,1.21,3.49,6.1,11.9,55.1,0.2,,28.9,780950.0,"(1.06, 2.36)"
EEFT,3.91,22.45,11.16,1.5,1.3,4.36,,20.8,10.3,,3.7,1.34,6.9,303980.0,"(3.54, 5.47)"
EFSC,1.17,8.68,7.93,0.96,0.11,5.31,2.17,14.2,26.0,19.1,2.0,1.16,38.6,138570.0,"(1.33, 3.37)"
ENPH,34.91,77.26,28.74,3.85,1.56,2.74,,71.7,18.6,186.0,1.2,1.56,17.0,4080000.0,"(4.53, 1.47)"
ENSG,3.83,21.95,16.81,1.46,0.12,3.95,0.27,19.5,16.6,23.7,0.7,1.01,7.4,260850.00000000003,"(3.91, 8.02)"
ENTG,3.69,51.81,20.86,9.25,1.8,1.54,0.5,8.3,4.9,-55.7,0.2,1.3,6.4,1690000.0,"(4.5, 3.94)"
EQIX,5.49,88.95,65.92,4.38,1.31,7.67,2.0,6.4,4.1,2.5,0.1,0.62,9.7,391800.0,"(1.63, 3.85)"
ERIC,1.45,10.44,7.7,,0.31,0.52,4.53,14.6,12.2,-39.8,0.9,0.57,6.9,10380000.0,"(0.5, 1.43)"
ERIE,8.09,43.83,31.52,4.38,0.0,5.11,2.12,21.8,20.6,19.0,0.8,0.46,10.5,111490.0,"(2.88, 6.39)"
ESGR,0.83,,5.87,,0.4,,,-19.4,11.8,142.6,0.9,0.61,,50890.0,"(0.89, 1.92)"
